date,items,mom,peso
2016-09-01,7559,0.14,3.7855
2016-09-01,7560,0.44,1.4097
2016-09-01,7561,-0.19,0.4364
2016-09-01,7562,0.88,0.0612
2016-09-01,7563,-2.07,0.0706
2016-09-01,7564,0.54,0.2113
2016-09-01,7565,-0.58,0.0223
2016-09-01,7572,-0.1,1.714
2016-09-01,7573,-0.96,0.4698
2016-09-01,7574,-1.94,0.0631
2016-09-01,7575,0.96,0.0218
2016-09-01,7576,0.43,0.298
2016-09-01,7577,0.21,0.6176
2016-09-01,7579,0.75,0.1575
2016-09-01,7582,0.05,0.0862
2016-09-01,7587,0.14,0.6618
2016-09-01,7589,-0.4,0.1239
2016-09-01,7590,-0.69,0.0399
2016-09-01,7591,-0.55,0.0698
2016-09-01,7592,0.73,0.1031
2016-09-01,7604,1.23,1.7065
2016-09-01,7606,0.26,0.1925
2016-09-01,7607,1.58,0.2931
2016-09-01,7608,0.39,0.0125
2016-09-01,7609,-1.34,0.0219
2016-09-01,7610,1.4,0.3518
2016-09-01,7611,1.36,0.0299
2016-09-01,7614,1.56,0.6141
2016-09-01,7615,-0.4,0.3521
2016-09-01,7617,0.14,0.1518
2016-09-01,7618,-0.83,0.1845
2016-09-01,7619,-0.62,0.0158
2016-09-01,7620,0.25,0.0837
2016-09-01,7622,0.09,0.0517
2016-09-01,7623,1.5,0.0179
2016-09-01,7624,-0.74,0.0142
2016-09-01,7625,-0.1,17.8726
2016-09-01,7627,-0.05,4.5716
2016-09-01,7628,0.0,2.6311
2016-09-01,7629,0.0,0.3622
2016-09-01,7630,0.0,0.0562
2016-09-01,7631,0.88,0.739
2016-09-01,7632,-0.07,0.2592
2016-09-01,7634,-2.39,0.3545
2016-09-01,7635,0.0,0.0669
2016-09-01,7639,0.02,0.0949
2016-09-01,7640,-0.08,8.2728
2016-09-01,7641,-0.02,2.8326
2016-09-01,7642,0.81,0.86
2016-09-01,7643,0.0,0.2495
2016-09-01,7644,0.26,0.0988
2016-09-01,7645,0.0,0.3503
2016-09-01,7647,0.14,1.7249
2016-09-01,7648,-0.03,0.1009
2016-09-01,7649,0.31,0.1106
2016-09-01,7650,2.77,0.0423
2016-09-01,7653,-0.9,0.0483
2016-09-01,7654,0.05,0.611
2016-09-01,7656,-0.17,5.0282
2016-09-01,7657,-0.4,3.8942
2016-09-01,7658,0.83,0.8816
2016-09-01,7659,0.08,0.1438
2016-09-01,7660,0.33,11.529
2016-09-01,7661,-0.08,3.6996
2016-09-01,7662,-0.06,3.4329
2016-09-01,7663,-0.67,0.235
2016-09-01,7664,0.4,0.4189
2016-09-01,7665,-0.12,0.326
2016-09-01,7666,0.43,0.1888
2016-09-01,7669,0.05,0.1873
2016-09-01,7670,0.7,0.2082
2016-09-01,7671,-0.21,0.2004
2016-09-01,7673,0.24,0.399
2016-09-01,7674,-0.93,0.7086
2016-09-01,7680,-1.53,0.0427
2016-09-01,7681,-0.74,0.0875
2016-09-01,7683,0.76,5.1358
2016-09-01,7684,0.31,1.138
2016-09-01,7685,0.19,0.466
2016-09-01,7686,0.38,0.4728
2016-09-01,7688,1.64,0.0034
2016-09-01,7690,-0.21,0.5754
2016-09-01,7691,0.28,0.0991
2016-09-01,7692,-0.46,0.3788
2016-09-01,7695,1.07,3.4225
2016-09-01,7697,0.08,2.6936
2016-09-01,7699,-0.51,0.3078
2016-09-01,7703,1.01,0.0956
2016-09-01,7704,-0.15,1.0207
